"","Actor","No. of Films","No. of Hits","avg ROI","avg Budget"
"158","Kiara Advani",1,NA,"-25","21"
"159","Konkona Sen Sharma",1,NA,"87.5","30"
"160","Kriti Sanon",1,1,"120","31"
"161","Kulbhushan Kharbanda",1,NA,"-90.6","52"
"162","Kuljeet Singh",1,1,"640.741","2"
"163","Kulraj Randhawa",1,NA,"-50","5"
"164","Kumud Mishra",1,1,"104","31"
"165","Kunaal Roy Kapur",2,1,"73.625","26"
"166","Kunal Kapoor",2,1,"100","51"
"167","Kunal Khemu",2,NA,"33.73","42.5"
"168","Lara Dutta",3,NA,"31.111","56.3333333333333"
"169","Lauren Gottlieb",1,NA,"-60","26"
"170","Lisa Haydon",3,1,"114.275333333333","36.3333333333333"
"171","Madhuri Dixit",2,NA,"-29.074","36"
"172","Mahaakshay Chakraborty",1,1,"184.211","72"
"173","Mahesh Manjrekar",1,NA,"29.167","51"
"174","Mahi Gill",2,1,"213.3335","31.5"
"175","Malhar Khushu",1,1,"640.741","2"
"176","Mallika Sherawat",4,NA,"-22.88675","27.75"
"177","Mandira Bedi",1,NA,"-76.562","21"
"178","Maninder Singh",1,NA,"-96","31"
"179","Manish Chaudhary",2,NA,"-76.741","14.5"
"180","Manisha Koirala",1,1,"20","52"
"181","Manjari Fadnis",2,1,"77.143","46.5"
"182","Manjot Singh",1,1,"640","52"
"183","Mannara",1,NA,"-6.667","19"
"184","Manoj Bajpai",4,2,"89.219","53.75"
"185","Manoj Bajpayee",2,NA,"-10","36.5"
"186","Manu Rishi",2,NA,"-58.333","47.5"
"187","Meiyang Chang",1,NA,"40.421","24"
"188","Menaka Lalwani",1,NA,"-77.778","45"
"189","Minissha Lamba",2,NA,"-76","42.5"
"190","Mishti",1,NA,"-88.571","41"
"191","Mithun Chakraborty",1,NA,"21.667","60"
"192","Mohan Agashe",1,1,"133.333","37"
"193","Mohit Ahlawat",1,NA,"47.611","23"
"194","Mohit Marwah",1,NA,"-25","21"
"195","Moushumi Chatterjee",1,1,"125.714","41"
"196","Mukesh Tiwari",1,NA,"-90.6","52"
"197","Naman Jain",1,NA,"33.333","58"
"198","Nana Patekar",3,1,"8.88866666666667","31.3333333333333"
"199","Nandana Sen",1,NA,"-58.333","11"
"200","Nargis Fakhri",2,NA,"60.513","51.5"
"201","Naseeruddin Shah",8,2,"61.129625","28.375"
"202","Nawazuddin Siddiqui",6,3,"105.215666666667","57"
"203","Neeraj Kabi",1,NA,"40.421","24"
"204","Neha Dhupia",2,NA,"-30","28.5"
"205","Neha Sharma",3,1,"47.752","33.6666666666667"
"206","Neil Bhoopalam",1,NA,"39.565","29"
"207","Neil Nitin Mukesh",4,1,"-2.22225","43.25"
"208","Nicole Faria",1,1,"110.526","24"
"209","Niharika Singh",1,NA,"-77.778","45"
"210","Nikhil Dwivedi",1,NA,"-12.5","21"
"211","Nishant Dahiya",1,1,"300","66"
"212","Nishant Malkani",1,NA,"0","52"
"213","Nora Fatehi",1,1,"18.571","62"
"214","Nupur Sharma",1,NA,"-96","31"
"215","Om Puri",4,NA,"-21.66675","32.25"
"216","Omi Vaidya",1,NA,"21.739","29"
"217","Pallavi Sharda",1,NA,"-88","31"
"218","Pankaj Kapoor",2,1,"66.6665","34.5"
"219","Paoli Dam",1,NA,"-12.5","21"
"220","Paresh Rawal",6,1,"53.7578333333333","28.6666666666667"
"221","Parineeti Chopra",6,1,"55.1721666666667","33.8333333333333"
"222","Partho Gupte",1,NA,"-33.333","19"
"223","Parvathy Omanakuttan",1,NA,"-73.333","19"
"224","Patralekha",1,1,"14.286","62"
"225","Pawan Malhotra",1,NA,"-27.273","7"
"226","Piyush Mishra",2,NA,"-42.245","40"
"227","Pooja Chopra",1,NA,"40","19"
"228","Pooja Salvi",1,NA,"31.25","21"
"229","Poonam Pandey",1,NA,"-20","5"
"230","Prabhudeva",1,1,"283.333","11"
"231","Prachi Desai",3,1,"4.04166666666667","32"
"232","Prachi Mishra",1,NA,"-79.167","11"
"233","Pradhuman Singh",1,NA,"-79.167","11"
"234","Prakash Raj",1,NA,"-36","31"
"235","Prateik Babbar",5,NA,"-16.1906","23.4"
"236","Preeti Desai",2,NA,"-23.3335","28"
"237","Prem Chopra",1,NA,"-96","31"
"238","Prithviraj Sukumaran",1,1,"15","26"
"239","Priya Anand",2,1,"290","35.5"
"240","Priyanka Chopra",10,4,"75.9502","44"
"241","Priyanshu Chatterjee",1,NA,"-85.714","62"
"242","Prosenjit Chatterjee",1,1,"10","26"
"243","Puja Gupta",1,1,"15","26"
"244","Pulkit Samrat",4,1,"122.3595","40.5"
"245","Puneet Issar",1,NA,"-85.714","62"
"246","Puneet Singh Ratn",1,NA,"-86.667","19"
"247","R Madhavan",2,1,"50.476","23"
"248","R. Madhavan",1,1,"470.167","38"
"249","Raayo S Bakhirta",1,NA,"57.143","62"
"250","Radhika Apte",2,2,"52.373","23"
"251","Rahul Bagga",1,1,"500","1"
"252","Rahul Bhat",1,1,"211.111","45"
"253","Rahul Bose",1,NA,"-8.14","68"
"254","Rahul Dev",1,NA,"47.611","23"
"255","Raj Babbar",3,2,"111.837666666667","44"
"256","Raj Zutshi",3,1,"5.55566666666667","44"
"257","Rajeev Khandelwal",2,NA,"-29.6466666666667","12.3333333333333"
"258","Rajesh Sharma",1,1,"9.091","53"
"259","Rajit Kapoor",1,NA,"-27.273","7"
"260","Rajkummar Rao",5,3,"131.7838","38.6"
"261","Rajneesh Duggal",1,NA,"47.611","23"
"262","Rajpal Yadav",1,NA,"-60","19"
"263","Rakul Preet",1,1,"110.526","24"
"264","Ram Kapoor",1,1,"160","52"
"265","Rana Daggubati",2,NA,"6.5235","53"
"266","Ranbir Kapoor",7,3,"40.1478571428571","44.4285714285714"
"267","Randeep Hooda",10,3,"91.7528","34"
"268","Randhir Kapoor",1,NA,"-37.5","66"
"269","Rani Mukerji",1,NA,"33.333","58"
"270","Rani Mukherjee",4,3,"107.41075","22.25"
"271","Ranveer Singh",6,2,"54.1388333333333","45.5"
"272","Ranvir Shorey",1,NA,"-30","5"
"273","Ravish Desai",1,NA,"0","52"
"274","Reemma Sen",1,1,"193.478","71"
"275","Reitesh Deshmukh",1,1,"120","5"
"276","Rekha",1,NA,"-37.5","66"
