Movie,Release_Date,Verified FB Page,FB Following,Trailer Thumbs Down,Trailer Thumbs Up,Youtube Trailer hits,Trailer Date,Days between Releases
Ek Thi Daayan,4/19/2013,None,0,627,3327,1874808,1/9/2013,100
Nautanki Saala,4/12/2013,N,512971,344,1444,1217386,2/6/2013,65
Commando,4/12/2013,N,99213,577,7684,3259677,1/25/2013,77
Chashme Baddoor,4/5/2013,N,602137,287,2932,1688641,2/7/2013,57
Himmatwala,3/29/2013,NP,3518,0,0,2535303,1/24/2013,64
Aatma,3/22/2013,N,98,319,1039,877698,2/11/2013,39
Rangrezz,3/21/2013,NP,1646,70,171,319084,2/4/2013,45
Mere Dad Ki Maruti,3/15/2013,NP,3189,135,1246,584611,11/11/2012,124
Jolly LLB,3/15/2013,N,5130,183,3073,1776598,1/8/2013,66
3G,3/15/2013,NP,1002,350,1398,1230118,1/3/2013,71
Saheb Biwi Aur Gangster Returns,3/8/2013,NP,1150,190,1042,1200536,1/31/2013,36
The Attacks Of 26/11,3/1/2013,NP,398,354,1946,1081140,1/17/2013,43
I Me Aur Main,3/1/2013,NP,1425,800,2603,2046390,1/28/2013,32
Kai Po Che!,2/22/2013,NP,14565,519,5734,1923886,12/20/2012,64
Zila Ghaziabad,2/22/2013,NP,1193,621,1763,1566604,1/10/2013,43
Murder 3,2/15/2013,N,1951,760,1927,2297673,1/7/2013,39
Jayantabhai Ki Luv Story,2/15/2013,NP,2984,166,1242,1059886,1/11/2013,35
Special Chabbis (26),2/8/2013,NP,36058,576,6292,1859738,12/20/2012,50
ABCD – Any Body Can Dance,2/8/2013,Y,3424681,819,10895,4182257,11/27/2012,73
David,2/1/2013,None,860644,95,1572,859324,12/13/2012,50
Race 2,1/25/2013,NP,85216,2179,12940,7865048,11/12/2012,74
Inkaar,1/18/2013,N,89554,116,904,1098134,12/14/2012,35
Matru Ki Bijlee Ka Mandola,1/11/2013,N,419720,652,4337,2466509,10/14/2012,89
Table no. 21,1/4/2013,NP,10547,147,1180,1167853,11/22/2012,43
Dabangg 2,12/21/2012,NP,117277,6506,14451,4718948,11/10/2012,41
Khiladi 786,12/7/2012,NP,12530,2720,6725,3533002,11/12/2012,25
Talaash,11/30/2012,Y,427834,1779,6700,3795554,9/13/2012,78
Jab Tak Hai Jaan,11/13/2012,Y,4488762,4870,41297,8728822,9/20/2012,54
Son Of Sardaar,11/13/2012,Y,262272,51,127,49596,7/19/2012,117
Luv Shuv Tey Chicken Khurana,11/2/2012,NP,2024,131,930,756023,9/13/2012,50
1920 – Evil Returns,11/2/2012,NP,39171,351,2772,2325401,10/1/2012,32
Rush,10/26/2012,NP,471,44,241,182595,9/28/2012,28
Ajab Gazabb Love,10/26/2012,NP,2936,25,219,187965,8/16/2012,71
Chakravyuh,10/24/2012,NP,1430,216,3032,1228851,8/16/2012,69
Student Of The Year,10/19/2012,N,3680889,2967,6009,4520945,8/2/2012,78
Aiyyaa,10/12/2012,NP,3455,145,866,493842,9/8/2012,34
Bhoot Returns,10/12/2012,NP,2071,285,914,927634,9/7/2012,35
English Vinglish,10/5/2012,NP,91872,612,6626,3204430,8/13/2012,53
Kismet Love Paisa Dilli,10/5/2012,NP,275,76,180,146712,8/29/2012,37
OMG Oh My God!,9/28/2012,N,155683,207,1405,1010293,8/16/2012,43
Kamaal Dhamaal Malamaal,9/28/2012,NP,806,81,191,96545,8/17/2012,42
Heroine,9/21/2012,N,8524,1940,7282,5200978,7/25/2012,58
Barfi!,9/14/2012,NP,378274,1164,10058,4243778,7/2/2012,74
Raaz 3,9/7/2012,N,546483,709,3592,3407955,7/31/2012,38
Joker,8/31/2012,NP,29,3720,5037,3230731,7/11/2012,51
Shirin Farhad Ki Toh Nikal Padi,8/24/2012,NP,1438,217,1288,837831,5/29/2012,87
Ek Tha Tiger,8/15/2012,Y,4690706,2902,14124,6432763,6/26/2012,50
Gangs Of Wasseypur 2,8/8/2012,NP,7122,195,3418,1422334,7/5/2012,34
Jism 2,8/3/2012,N,21256,219,448,1014416,7/20/2012,14
Kyaa Super Kool Hain Hum,7/27/2012,N,359,60,443,300093,4/2/2012,116
Cocktail,7/13/2012,NP,84554,926,8879,5299664,5/20/2012,54
Bol Bachchan,7/6/2012,N,313268,748,2605,2772046,5/24/2012,43
Gangs Of Wasseypur,6/29/2012,N,467643,165,1841,1274650,5/10/2012,50
Teri Meri Kahaani,6/22/2012,NP,31469,705,4810,2496887,4/5/2012,78
Ferrari Ki Sawaari,6/15/2012,NP,6041,30,243,192934,5/8/2012,38
Shanghai,6/8/2012,N,123887,58,1134,547862,4/6/2012,63
Rowdy Rathore,6/1/2012,NP,388221,1655,5407,3519138,4/2/2012,60
Department,5/18/2012,None,860644,52,538,326910,4/5/2012,43
Ishaqzaade,5/11/2012,NP,970077,164,1441,908390,3/15/2012,57
Dangerous Ishhq,5/11/2012,N,33178,177,665,641564,4/5/2012,36
Jannat 2,5/4/2012,N,1384128,160,1620,1092694,4/3/2012,31
Tezz,4/27/2012,NP,31500,321,2372,2527689,1/4/2012,114
Vicky Donor,4/20/2012,NP,88089,247,3448,2086366,3/8/2012,43
Hate Story,4/20/2012,NP,10838,958,2763,4502389,3/16/2012,35
Bittoo Boss,4/13/2012,NP,1428,53,109,108849,2/24/2012,49
Housefull 2,4/6/2012,NP,230090,694,3390,2683798,2/9/2012,57
Blood Money,3/30/2012,NP,39059,17,88,118573,2/24/2012,35
Agent Vinod,3/23/2012,NP,4534,529,1632,1857597,2/21/2012,31
Kahaani,3/9/2012,N,488093,124,286,625337,1/5/2012,64
Chaar Din Ki Chandni,3/8/2012,NP,906,764,218,178465,12/1/2011,98
London Paris New York,3/2/2012,NP,7925,117,1503,752987,1/13/2012,49
Paan Singh Tomar,3/2/2012,N,24610,22,603,446421,2/7/2012,24
Tere Naal Love Ho Gaya,2/24/2012,NP,63736,123,1505,1213496,12/22/2011,64
Jodi Breakers,2/24/2012,N,5097,20,255,173701,1/4/2012,51
Ekk Deewana Tha,2/17/2012,N,161845,56,764,568971,12/23/2011,56
Ek Main Aur Ekk Tu,2/10/2012,N,736076,228,1837,1310161,11/30/2011,72
Agneepath,1/26/2012,N,1154295,786,8074,6022500,8/28/2011,151
Players,1/6/2012,N,380141,236,618,814656,11/3/2011,64
Don 2,12/23/2011,Y,2605328,12,489,78105,10/24/2011,60
Ladies Vs Ricky Bahl,12/9/2011,NP,311120,240,1469,1502301,11/9/2011,30
The Dirty Picture,12/2/2011,NP,463479,226,1084,2257031,8/30/2011,94
Desi Boyz,11/25/2011,NP,150174,134,1028,885237,10/24/2011,32
Rockstar,11/11/2011,NP,26112,367,3146,1986285,8/30/2011,73
Ra.One,10/26/2011,NP,675021,381,1480,1654446,10/13/2011,13
Mujhse Fraaandship Karoge,10/14/2011,NP,8814,69,686,360192,9/6/2011,38
Love Breakups Zindagi,10/7/2011,NP,5217,22,390,311210,8/16/2011,52
Rascals,10/6/2011,NP,55617,47,220,362317,8/10/2011,57
Hum Tum Shabana,9/30/2011,NP,1378,4,64,144443,8/11/2011,50
Saheb Biwi Aur Gangster,9/30/2011,N,1654,0,5,6298,3/29/2012,-181
Force,9/30/2011,NP,199,22,319,329209,8/17/2011,44
Speedy Singhs,9/23/2011,NP,2952,82,1732,1001584,8/18/2011,36
Mausam,9/23/2011,NP,7274,139,1912,1528602,7/12/2011,73
Mere Brother Ki Dulhan,9/9/2011,N,1514833,318,2328,2065953,7/12/2011,59
Bodyguard,8/31/2011,NP,209128,1176,3128,2369398,7/21/2011,41
Aarakshan,8/12/2011,NP,10043,31,277,248118,6/24/2011,49
Singham,7/22/2011,NP,510094,502,4006,3334539,6/3/2011,49
Zindagi Na Milegi Dobara,7/15/2011,Y,2464050,82,801,650952,5/31/2011,45
Murder 2,7/8/2011,N,2374250,6,45,50310,6/1/2011,37
Bbuddah Hoga Terra Baap,7/1/2011,NP,165,8,17,23591,6/3/2011,28
Delhi Belly,7/1/2011,NP,254239,242,1826,1768637,6/1/2011,30
Double Dhamaal,6/24/2011,NP,78198,56,664,797261,5/19/2011,36
Bheja Fry 2,6/17/2011,NP,2870,32,216,277660,5/7/2011,41
Shaitan,6/10/2011,NP,23860,41,279,383720,4/20/2011,51
Ready,6/3/2011,NP,176167,303,1528,1839961,4/14/2011,50
Pyaar Ka Punchnama,5/20/2011,Y,245351,4,240,232531,4/14/2011,36
Ragini MMS,5/13/2011,NP,31591,41,15,75492,4/21/2011,22
Luv Ka The End,5/6/2011,NP,77669,149,484,580133,3/30/2011,37
Haunted,5/6/2011,NP,5989,4,49,120582,4/7/2011,29
Shor In The City,4/29/2011,NP,7466,1,35,65126,3/29/2011,31
Chalo Dilli,4/29/2011,NP,1870,21,187,313408,4/2/2011,27
Dum Maaro Dum,4/22/2011,N,167280,5,34,39441,4/12/2011,10
Thank You,4/8/2011,NP,1744,128,623,1117064,2/25/2011,42
Game,4/1/2011,NP,1799,2,25,21382,12/9/2010,113
F.A.L.T.U.,4/1/2011,Y,848482,42,182,332412,2/8/2011,52
Tanu Weds Manu,2/25/2011,N,168758,9,55,165350,12/24/2010,63
7 Khoon Maaf,2/18/2011,N,32878,33,158,404046,1/24/2011,25
Patiala House,2/11/2011,NP,226617,60,233,436618,12/23/2010,50
Yeh Saali Zindagi,2/4/2011,N,30302,9,9,13146,2/8/2011,-4
Dil Toh Baccha Hai Ji,1/28/2011,NP,42331,5,80,167172,11/27/2010,62
Dhobi Ghat,1/21/2011,NP,53998,28,474,418606,11/19/2010,63
Yamla Pagla Deewana,1/14/2011,N,146693,9,118,215922,12/15/2010,30
No One Killed Jessica,1/7/2011,NP,35478,61,894,1247853,11/17/2010,51
